Issuer_Name,Issuer_Location,Issuer_Sector,Interest_Rate,Credit_Rating,Credit_Rating_Numeric,ESG_Score,Market_Demand,Inflation_Rate,Government_Support,Project_Risk,Risk_Involved,Liquidity,Currency_Risk,Issuer_Reputation,Bond_Price
360 ENERGY SOLAR SA,Argentina,Corporate - Energy,2.185430535,AAA,1,92.51740006,85.47285567,2.259805212,4.794549781,8.526661531,High Risk,8.82048186,0.49881502,86.18976151,101.2243539
A.P. MOLLER - MAERSK A/S,Denmark,Corporate - Industrials,4.778214379,A,3,60.59970273,90.07041668,1.866184716,3.672777013,7.748834323,High Risk,4.443938189,3.884156847,83.48615039,97.54581029
A2A S.P.A.,Italy,Corporate - Utilities,3.793972738,B,6,82.86767411,61.51461784,2.054046047,9.138145226,3.927351142,Medium Risk,5.889436485,1.85708456,89.93745745,99.28345197
AAREAL BANK AG,Germany,Financials - Consumer Finance,3.193963179,AAA,1,73.61409021,138.3273601,0.522389421,3.682954677,5.043807043,Medium Risk,1.391878028,0.196950814,62.85573315,104.7305369
AARGAUISCHE KANTONALBANK,Switzerland,Financials - Banking,1.202083882,BBB,4,94.0078369,91.48256555,1.768059859,3.734445911,4.643317448,Medium Risk,0.03387848,1.816230893,80.9021406,98.82112937
AB ELECTROLUX (PUBL),Sweden,Corporate - Consumer Discretionary,1.201975342,BB,5,60.78703396,88.72744114,2.654204484,3.835345124,2.533981076,Low Risk,2.452900936,3.053213755,73.00331195,96.58215193
AB IGNITIS GRUPE,Lithuania,Corporate - Utilities,0.761376255,AAA,1,83.89066002,115.9690273,1.828081106,8.366202104,5.050280461,Medium Risk,7.045860321,0.596250838,89.12208176,106.5928916
ABANCA CORP BANCARIA SA,Spain,Financials - Banking,4.397792656,BBB,4,80.38760611,94.20334209,2.696657619,6.507883208,0.304965479,Low Risk,0.991945301,4.620172462,65.46280552,100.5024857
ABN AMRO BANK N.V.,Netherlands,Financials - Banking,3.205017553,AA,2,64.76507388,114.8233469,1.199056893,6.141688503,1.318103735,Low Risk,9.088874404,0.388362066,82.15893084,105.6024385
ABSA BANK LIMITED,South Africa,Financials - Banking,3.6863266,BBB,4,56.83004518,56.14462901,2.939426013,3.341430224,8.865895962,High Risk,2.150225694,4.650033599,94.11062059,92.28689509
